x,y,Q_up,Q_down,Q_left,Q_right
1,1,-12.8851,-12.8833,-12.8845,8.3803
2,1,-12.1946,-12.1947,6.5181,9.1562
3,1,9.4159,-12.0550,6.9590,-12.0555
3,2,9.4013,6.9178,-12.0579,-12.0519
3,3,-12.0039,6.9979,9.6523,-12.0034
2,3,-10.4766,-10.4783,11.3964,8.5141
1,3,13.3295,-8.7368,-8.7369,10.0904
1,4,13.9824,10.4547,-8.1531,-8.1555
1,5,-7.4253,11.1418,-7.4234,14.8703
2,5,-7.0109,-7.0082,11.4735,15.1474
3,5,-6.5180,-6.5216,11.9057,16.0497
4,5,-5.9262,-5.9249,12.4743,16.6742
5,5,-5.2051,-5.2082,13.1174,17.3067
6,5,-4.3140,-4.3119,13.9241,18.4180
7,5,-3.2007,-3.1980,14.9406,19.5498
8,5,-1.7823,-1.7791,16.2526,21.2174
9,5,23.2029,17.8432,17.8584,0.0266
9,6,24.3391,18.8229,1.1513,1.1519
9,4,20.8287,16.4526,-1.3050,-1.4102
9,3,19.4331,15.1839,-2.6837,-2.7864
9,2,18.0332,14.1972,-3.8240,-3.9625
9,1,16.8848,-4.8394,13.2771,-4.9294
8,1,-6.6426,-6.6958,11.7040,14.9995
7,1,-8.1492,-8.1406,10.3791,13.3033
6,1,-9.4297,-9.2908,9.3606,11.9805
5,1,8.4528,-10.2923,-10.2645,10.8477
5,2,6.6487,8.6227,-12.2666,-12.2738
5,3,-14.0032,6.6849,-14.0018,5.0147
6,3,-15.5261,-15.3791,5.2624,3.7659
7,3,-16.3853,-16.4172,4.0229,-16.3807
9,7,2.4071,19.9498,25.6272,2.4103
8,7,5.0381,5.0373,28.7043,22.4094
7,7,8.3143,8.3115,32.0370,25.4249
6,7,12.1365,12.1380,36.4682,28.8770
5,7,16.4771,16.4792,40.7626,32.8005
4,7,21.3414,21.3460,46.7493,37.1811
3,7,53.0479,26.7773,26.7738,42.0733
3,8,57.6934,46.3240,31.6350,31.6337
3,9,37.1896,51.3484,51.2905,64.5899
4,9,42.4448,42.4455,55.9791,70.7680
5,9,48.2857,48.2846,61.2420,76.2924
6,9,54.7759,54.7754,67.0822,84.3692
7,9,61.9889,61.9876,73.5754,91.5996
8,9,70.0000,70.0000,80.7864,100.0000
2,9,32.1667,32.1736,46.7463,57.9895
1,9,27.6423,42.6204,27.6083,52.9730
1,8,47.4538,38.1832,22.6159,22.6758
1,7,42.6511,18.3432,18.2664,18.2258
