x,y,Q_up,Q_down,Q_left,Q_right
1,1,-10.7704,-7.4520,-8.3992,20.5382
2,1,-4.2466,-4.8174,12.1558,22.4749
3,1,23.2454,-3.6790,12.8725,-2.1860
3,2,24.2695,9.2241,-9.5088,-9.5092
3,3,25.4899,9.4879,-9.1749,-1.0424
3,4,26.8449,9.9489,-8.7410,-5.7482
3,5,-1.6192,13.2390,27.9665,-2.1144
2,5,-2.0270,-3.6243,30.7379,16.9019
1,5,33.4033,15.2808,-2.4284,16.9848
1,6,34.9201,18.1488,8.6939,0.2374
1,7,36.8137,16.9792,11.2313,-0.9501
1,8,38.9018,18.6545,0.8837,0.8833
1,9,3.0458,20.6117,14.3745,41.1485
2,9,4.5086,4.5092,21.8328,42.7199
3,9,6.1343,6.1350,23.2938,44.0032
1,4,21.5029,13.0157,-3.9267,-3.4188
1,3,14.9957,-7.1580,-6.5165,-6.4886
4,9,7.9365,7.9377,37.8326,45.3382
5,9,9.9480,46.9915,26.7354,9.9468
5,8,29.8621,50.0097,13.3021,13.2986
5,7,33.4438,17.2526,33.3499,53.7745
4,7,14.0310,14.1334,30.3680,37.9616
3,7,11.1482,11.1790,11.1585,34.7174
6,7,20.4264,20.4171,36.1811,56.0933
7,7,24.0452,59.1153,39.4419,24.0413
7,6,44.6164,63.7348,29.6143,29.6154
7,5,50.2784,40.0478,35.8974,69.8458
8,5,54.6404,53.0222,66.1001,75.1273
9,5,82.5815,61.2788,61.3186,48.2906
9,4,69.0891,55.7562,42.1665,42.1606
9,3,62.9639,50.7114,36.6009,36.6350
9,2,57.4375,46.2037,31.5171,31.5685
9,1,52.3739,26.8583,37.2259,27.0816
8,1,-5.3502,11.1498,17.6640,45.1732
7,1,9.5644,-1.0593,1.7933,30.1646
9,6,89.0219,67.0839,54.7738,55.9109
9,7,94.9493,73.5767,61.9894,61.9898
7,2,4.0801,14.4595,-14.4877,-9.2613
7,3,-17.2309,4.7163,1.4353,-16.4180
6,3,-18.1784,-17.6666,1.2325,2.9200
5,3,1.4386,1.1825,-17.8696,2.4345
5,2,2.6758,1.3815,-17.7917,-17.7403
5,1,2.8954,-17.4536,-17.5538,-17.5227
5,4,0.1370,0.9944,-19.3807,-19.1981
5,5,-20.3272,-0.2696,-20.4517,-20.6954
9,8,99.9976,80.7870,69.9973,71.1079
